Date,HiTec,Utils,Market,SMB,HML
2007-06-01,0.12,-5.23,-1.96,0.75,-1.05
2007-07-01,-1.46,-4.12,-3.73,-2.61,-3.71
2007-08-01,2.49,1.42,0.92,-0.13,-1.86
2007-09-01,3.89,3.22,3.22,-2.23,-2.21
2007-10-01,6.5,6.51,1.8,0.08,-2.98
2007-11-01,-7.87,-1.06,-4.83,-2.93,-0.94
2007-12-01,1.22,0.63,-0.87,0.13,-0.55
2008-01-01,-12.58,-7.14,-6.36,-1.03,3.97
2008-02-01,-3.71,-3.15,-3.09,-0.43,-0.84
2008-03-01,0.49,0.64,-0.93,0.71,0.3
2008-04-01,6.28,6.21,4.6,-1.72,-0.94
2008-05-01,5.5,3.4,1.86,2.96,-1.43
2008-06-01,-9.0,-0.57,-8.44,1.23,-2.71
2008-07-01,-0.68,-7.28,-0.77,2.6,5.42
2008-08-01,2.26,-0.56,1.53,3.6,1.59
2008-09-01,-12.59,-12.09,-9.24,-1.23,5.91
2008-10-01,-18.41,-11.2,-17.23,-2.6,-2.3
2008-11-01,-10.93,1.2,-7.86,-2.85,-6.31
2008-12-01,2.17,-2.04,1.74,3.46,0.14
2009-01-01,-3.23,-0.82,-8.12,0.07,-11.29
2009-02-01,-5.07,-12.6,-10.1,0.05,-6.95
2009-03-01,11.48,2.77,8.95,0.03,3.47
2009-04-01,12.26,2.08,10.18,5.39,5.36
2009-05-01,3.03,4.63,5.21,-2.52,0.28
